4;0;52;13.83;0.07;0.00;I
4;1;47;5.21;0.07;0.00;I
4;1;48;7.16;0.07;0.00;I
4;1;49;9.55;0.07;0.00;I
4;1;50;11.80;0.07;0.00;I
4;1;51;12.70;0.07;0.00;I
4;1;53;15.65;0.07;0.00;I
4;1;54;18.19;0.07;0.00;I
4;1;55;23.76;0.07;0.00;I
4;47;48;2.31;0.07;0.00;I
4;47;49;4.34;0.07;0.00;I
4;47;50;6.59;0.07;0.00;I
4;47;51;7.49;0.07;0.00;I
4;47;52;8.62;0.07;0.00;I
8;13;14;2.38;0.07;0.00;I
8;13;15;2.38;0.07;0.00;V
8;13;16;2.72;0.07;0.00;I
8;13;17;3.65;0.07;0.00;I
8;13;18;5.74;0.07;0.00;I
8;13;19;6.45;0.07;0.00;I
8;13;20;8.28;0.07;0.00;I
8;14;13;2.38;0.07;0.00;V
8;14;15;2.70;0.07;0.00;V
8;14;16;2.38;0.07;0.00;I
8;14;17;2.67;0.07;0.00;I
8;14;18;4.76;0.07;0.00;I
8;14;19;5.47;0.07;0.00;I
8;14;20;7.30;0.07;0.00;V
8;15;13;2.38;0.07;0.00;I
8;15;14;2.70;0.07;0.00;I
8;15;16;4.44;0.07;0.00;I
8;15;17;5.37;0.07;0.00;I
8;15;18;7.46;0.07;0.00;I
8;15;19;8.18;0.07;0.00;I
8;15;20;10.00;0.07;0.00;I
8;16;13;2.72;0.07;0.00;V
8;16;14;2.38;0.07;0.00;V
8;16;15;4.44;0.07;0.00;V
8;16;17;2.38;0.07;0.00;V
8;16;18;3.02;0.07;0.00;I
8;16;19;3.73;0.07;0.00;V
8;16;20;5.56;0.07;0.00;I
8;17;13;3.65;0.07;0.00;V
8;17;14;2.67;0.07;0.00;V
8;17;15;5.37;0.07;0.00;V
8;17;16;2.38;0.07;0.00;I
8;17;18;2.38;0.07;0.00;V
8;17;19;2.80;0.07;0.00;I
8;18;13;5.74;0.07;0.00;V
8;18;14;4.76;0.07;0.00;V
8;18;15;7.46;0.07;0.00;V
8;18;16;3.02;0.07;0.00;V
8;18;17;2.38;0.07;0.00;V
8;18;19;2.38;0.07;0.00;I
8;18;20;2.54;0.07;0.00;I
8;19;13;6.45;0.07;0.00;V
8;19;14;5.47;0.07;0.00;V
8;19;15;8.18;0.07;0.00;V
8;19;16;3.73;0.07;0.00;I
8;19;17;2.80;0.07;0.00;V
8;19;18;2.38;0.07;0.00;V
8;19;20;2.38;0.07;0.00;I
8;20;13;8.28;0.07;0.00;V
8;20;14;7.30;0.07;0.00;V
8;20;15;10.00;0.07;0.00;V
8;20;16;5.56;0.07;0.00;V
